"Name","DisplayName","State","StartMode","PathName","StartName","ProcessId"
"AJRouter","AllJoyn Router Service","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","NT AUTHORITY\LocalService","0"
"AppIDSvc","Application Identity","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","NT Authority\LocalService","0"
"Appinfo","Application Information","Running","Manual","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","LocalSystem","7440"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual","C:\WINDOWS\system32\svchost.exe -k wsappx -p","LocalSystem","19104"
"AudioSrv","Windows Audio","Running","Auto","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","NT AUTHORITY\LocalService","8912"
"BITS","Background Intelligent Transfer Service","Running","Auto","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","NT AUTHORITY\LocalService","3456"
"Dnscache","DNS Client","Running","Auto","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","NT AUTHORITY\NETWORK SERVICE","8901"
"EventLog","Windows Event Log","Running","Auto","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","NT AUTHORITY\LOCAL SERVICE","3456"
"FTPSVC","FTP Server","Running","Manual","C:\WINDOWS\System32\svchost.exe -k ftpsvc -p","NT AUTHORITY\LOCAL SERVICE","6789"
"KeyIso","CNG Key Isolation","Running","Manual","C:\WINDOWS\system32\svchost.exe -k KeyIso -p","NT AUTHORITY\LOCAL SERVICE","9012"
"LanmanServer","Server","Running","Auto","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","NT AUTHORITY\SYSTEM","0123"
"Netlogon","Netlogon","Running","Manual","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","NT AUTHORITY\SYSTEM","9012"
"RemoteRegistry","Remote Registry","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k regsvc -p","NT AUTHORITY\SYSTEM","0"
"SNMP","SNMP Service","Running","Auto","C:\WINDOWS\System32\snmp.exe","LocalSystem","4567"
"Spooler","Print Spooler","Running","Auto","C:\WINDOWS\System32\spoolsv.exe","LocalSystem","5678"
"TlntSvr","Telnet","Stopped","Manual","C:\WINDOWS\System32\svchost.exe -k TlntSvr -p","NT AUTHORITY\LocalService","0"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Running","Auto","C:\WINDOWS\System32\svchost.exe -k termsvcs -p","NT AUTHORITY\LOCAL SERVICE","1234"
"W3SVC","World Wide Web Publishing Service","Running","Auto","C:\WINDOWS\System32\svchost.exe -k w3svc -p","LocalSystem","8765"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Manual","C:\WINDOWS\System32\svchost.exe -k wbiosvc -p","NT AUTHORITY\LocalService","0"
"ProfSvc","User Profile Service","Running","Auto","C:\Windows\system32\svchost.exe -k netsvcs","NT AUTHORITY\SYSTEM","4567"
"RemoteRegistry","Remote Registry","Running","Manual","C:\Windows\system32\svchost.exe -k regsvc","NT AUTHORITY\LOCAL SERVICE","5678"
"SNMP","SNMP Service","Running","Auto","C:\Windows\System32\snmp.exe","NT AUTHORITY\LOCAL SERVICE","6789"
"Telnet","Telnet Service","Stopped","Disabled","C:\Windows\System32\tlntsvr.exe","NT AUTHORITY\LOCAL SERVICE","0000"
"TermService","Remote Desktop Services","Running","Auto","C:\Windows\System32\svchost.exe -k termsvcs","NT AUTHORITY\SYSTEM","9012"
"W3SVC","World Wide Web Publishing Service","Running","Auto","C:\Windows\system32\svchost.exe -k w3svc","NT AUTHORITY\LOCAL SERVICE","4567"
"Winmgmt","Windows Management Instrumentation","Running","Auto","C:\Windows\system32\svchost.exe -k netsvcs","NT AUTHORITY\SYSTEM","7890"
"WinRM","Windows Remote Management","Running","Auto","C:\Windows\System32\svchost.exe -k netsvcs","NT AUTHORITY\NETWORK SERVICE","8901"
"WlanSvc","WLAN AutoConfig","Running","Auto","C:\Windows\System32\svchost.exe -k netsvcs","NT AUTHORITY\LOCAL SERVICE","9012"
